Date,Schedule Rollup,STARS ID,Station Unique,Delay Type,Delay Category,Delay Subcategory,Charge Department,Trouble Code,Delay Total,Line,Incident Time,Incident Hour
2/15/2024,Weekday,A-109,28 St (129),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,23:11,23
2/15/2024,Weekday,A-94,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,20:08,20
2/15/2024,Weekday,A-11,Rector St (139),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,17,1,01:07,1
2/15/2024,Weekday,A-40,137 St - City College (115),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,18,1,09:26,9
2/16/2024,Weekday,A-57,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,18:24,18
2/16/2024,Weekday,A-71,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,21:33,21
2/16/2024,Weekday,A-1,Nereid Av (204),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,10,2,06:00,6
2/16/2024,Weekday,A-23,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,4,1,06:55,6
2/16/2024,Weekday,A-56,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,3,1,18:11,18
2/16/2024,Weekday,A-33,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Police,BROKEN GLASS,2,1,11:51,11
2/16/2024,Weekday,A-49,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,1,1,15:24,15
2/16/2024,Weekday,A-66,96 St (120),Internal,Other Internal,Train Brake Activation - Cause Unknown,Miscellaneous,BIE-HOME SIGNAL,13,1,20:18,20
2/16/2024,Weekday,A-24,14 St (132),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SIGNAL TROUBLE,9,1,08:28,8
2/16/2024,Weekday,A-10,Rector St (139),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,4,1,00:02,0
2/16/2024,Weekday,A-26,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,06:25,6
2/16/2024,Weekday,A-47,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,17,1,14:40,14
2/16/2024,Weekday,A-61,72 St (123),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,15,1,18:37,18
2/16/2024,Weekday,A-79,23 St (130),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,22:36,22
2/16/2024,Weekday,A-81,14 St (132),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,22:48,22
2/16/2024,Weekday,A-9,96 St (120),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,00:08,0
2/16/2024,Weekday,A-11,Rector St (139),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,2,1,00:46,0
2/20/2024,Weekday,A-11,116 St - Columbia University (117),External,"Public Conduct, Crime, Police Response",,Police,E.A. BOX ACTIVATED,4,1,00:54,0
2/20/2024,Weekday,A-29,34 St - Penn Station (128),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,12,1,07:20,7
2/20/2024,Weekday,A-30,Chambers St (137),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,6,1,08:20,8
2/20/2024,Weekday,A-40,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,3,1,08:02,8
2/20/2024,Weekday,A-53,191 St (110),Internal,Other Internal,Service Delivery,Division of Service Delivery,BIE-EMPLOYEE,1,1,12:19,12
2/20/2024,Weekday,A-77,240 St Yard (102),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,2,1,16:45,16
2/20/2024,Weekday,A-45,Dyckman St (109),Internal,Subway Car,Other - CE,Division of Car Equipment,T/O OVER RUNNING THE STATION,7,1,10:40,10
2/20/2024,Weekday,A-98,18 St (131),Internal,Track Failures,"Fire, Smoke, Debris",Division of MOW Track,BIE-DEBRIS ON ROADBED,15,1,22:01,22
2/20/2024,Weekday,A-103,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,19,1,20:44,20
2/20/2024,Weekday,A-44,168 St (112),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,09:04,9
2/20/2024,Weekday,A-69,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,8,1,14:39,14
2/20/2024,Weekday,A-51,137 St - City College (115),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,17,1,11:08,11
2/20/2024,Weekday,A-47,125 St (116),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,3,1,10:35,10
2/20/2024,Weekday,A-9,103 St (119),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,6,1,01:42,1
2/21/2024,Weekday,A-51,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,16:24,16
2/21/2024,Weekday,A-1,241 St - Wakefield (201),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,1,2,02:39,2
2/21/2024,Weekday,A-66,168 St (112),External,Persons on Roadbed,,Police,PERSON ON ROADBED,38,1,20:46,20
2/21/2024,Weekday,A-2,79 St (122),External,"Public Conduct, Crime, Police Response",,Police,BIE-EMPLOYEE,2,1,06:31,6
2/21/2024,Weekday,A-44,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),2,1,15:22,15
2/21/2024,Weekday,A-50,Cortlandt St (138),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),3,1,17:01,17
2/21/2024,Weekday,A-82,96 St (120),External,"Public Conduct, Crime, Police Response",,Public,BIE-EBV-CUSTOMER,2,1,23:34,23
2/21/2024,Weekday,A-20,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,1,1,08:50,8
2/21/2024,Weekday,A-85,18 St (131),Internal,Other Internal,Train Brake Activation - Cause Unknown,Miscellaneous,BIE-UNDER INVESTIGATION,1,1,23:51,23
2/21/2024,Weekday,A-28,South Ferry (142),Internal,Subway Car,Door-Related,Division of Car Equipment,LOSS OF T/O INDICATION,4,1,10:21,10
2/21/2024,Weekday,A-11,96 St (120),Internal,Subway Car,Propulsion,Division of Car Equipment,NO MOTOR POWER,3,1,01:48,1
2/21/2024,Weekday,A-5,Times Square - 42 St (127),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,2,3,01:10,1
2/21/2024,Weekday,A-46,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,7,1,14:39,14
2/21/2024,Weekday,A-31,242 St - Van Cortlandt Park (101),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,1,10:45,10
2/21/2024,Weekday,A-34,137 St - City College (115),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,7,1,09:46,9
2/21/2024,Weekday,A-56,Central Park North (110 St) (227),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,3,2,17:42,17
2/21/2024,Weekday,A-7,Canal St (135),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,8,1,00:59,0
2/21/2024,Weekday,A-79,Fulton St (229),Planned ROW Work,,,Division of MOW Track,DELAYED BY WORK TRAIN,7,3,22:40,22
2/22/2024,Weekday,A-56,96 St (120),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,2,1,17:22,17
2/22/2024,Weekday,A-27,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,1,07:52,7
2/22/2024,Weekday,A-26,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,7,1,09:13,9
2/22/2024,Weekday,A-9,18 St (131),Internal,Other Internal,Train Brake Activation - Cause Unknown,Miscellaneous,BIE-UNDER INVESTIGATION,1,1,00:00,0
2/22/2024,Weekday,A-46,Jackson Av (220),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,BROKEN RAIL,3,2,13:20,13
2/22/2024,Weekday,A-58,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,14,1,16:37,16
2/22/2024,Weekday,A-92,Houston St (134),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,22:49,22
2/22/2024,Weekday,A-95,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,22:40,22
2/22/2024,Weekday,A-44,125 St (116),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,2,1,10:53,10
2/22/2024,Weekday,A-10,Canal St (135),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,1,01:05,1
2/23/2024,Weekday,A-24,238 St (103),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,2,1,07:34,7
2/23/2024,Weekday,A-5,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,1,1,04:57,4
2/23/2024,Weekday,A-7,72 St (123),External,"Public Conduct, Crime, Police Response",,Police,EMPLOYEE ASSAULTED BY CUST.,3,1,01:17,1
2/23/2024,Weekday,A-55,Times Square - 42 St (127),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,1,15:36,15
2/23/2024,Weekday,A-39,157 St (113),External,"Public Conduct, Crime, Police Response",,Public,FIRE/SMOKE CONDITIONS,1,1,11:24,11
2/23/2024,Weekday,A-71,72 St (123),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,3,1,19:05,19
2/23/2024,Weekday,A-53,Houston St (134),External,Sick/Injured Customer,,Public,SICK CUSTOMER,6,1,15:15,15
2/23/2024,Weekday,A-44,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,6,1,07:56,7
2/23/2024,Weekday,A-6,72 St (123),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-AUTOMATIC SIGNAL,3,1,01:17,1
2/23/2024,Weekday,A-82,Rector St (139),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,2,1,21:33,21
2/23/2024,Weekday,A-47,181 St (111),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,05:35,5
2/23/2024,Weekday,A-49,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,07:33,7
2/23/2024,Weekday,A-90,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,4,1,21:28,21
2/23/2024,Weekday,A-95,181 St (111),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,22:40,22
2/23/2024,Weekday,A-97,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,22:15,22
2/23/2024,Weekday,A-8,Franklin St (136),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,3,1,00:02,0
2/23/2024,Weekday,A-14,191 St (110),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,7,1,00:17,0
2/26/2024,Weekday,A-1,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,11,1,07:14,7
2/26/2024,Weekday,A-30,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,2,1,10:29,10
2/26/2024,Weekday,A-31,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,1,1,09:18,9
2/26/2024,Weekday,A-11,Cortlandt St (138),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,6,1,05:52,5
2/26/2024,Weekday,A-62,242 St - Van Cortlandt Park (101),External,Sick/Injured Customer,,Public,SICK CUSTOMER,2,1,18:11,18
2/26/2024,Weekday,A-47,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,3,1,15:39,15
2/26/2024,Weekday,A-7,96 St (120),Internal,Other Internal,Train Brake Activation - Cause Unknown,Miscellaneous,BIE-UNDER INVESTIGATION,4,2,03:05,3
2/26/2024,Weekday,A-52,145 St (302),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,9,3,17:24,17
2/26/2024,Weekday,A-35,Dyckman St (109),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,06:43,6
2/26/2024,Weekday,A-36,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,07:59,7
2/26/2024,Weekday,A-71,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,12,1,18:28,18
2/27/2024,Weekday,A-28,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,4,1,08:11,8
2/27/2024,Weekday,A-8,Franklin St (136),External,"Public Conduct, Crime, Police Response",,Police,BIE-EMPLOYEE,1,1,01:59,1
2/27/2024,Weekday,A-65,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Police,CAR BODY DAMAGE,3,1,15:40,15
2/27/2024,Weekday,A-12,Dyckman St (109),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,2,1,05:42,5
2/27/2024,Weekday,A-23,59 St - Columbus Circle (125),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,3,1,07:59,7
2/27/2024,Weekday,A-34,Cathedral Pkwy (110 St) (118),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,8,1,09:34,9
2/27/2024,Weekday,A-82,World Trade Center (E01),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,3,1,19:33,19
2/27/2024,Weekday,A-19,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,5,1,07:28,7
2/27/2024,Weekday,A-71,96 St (120),Internal,Other Internal,Other Internal Disruptions,Automatic Train Supervision,AUTOMATIC TRAIN SUPV,38,1,17:07,17
2/27/2024,Weekday,A-75,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,4,1,17:01,17
2/27/2024,Weekday,A-6,135 St (224),Internal,Subway Car,Propulsion,Division of Car Equipment,NO MOTOR POWER,1,3,00:44,0
2/27/2024,Weekday,A-2,Times Square - 42 St (127),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,7,1,01:44,1
2/27/2024,Weekday,A-21,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,06:37,6
2/27/2024,Weekday,A-40,125 St (116),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,16,1,12:00,12
2/27/2024,Weekday,A-5,Canal St (135),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,11,1,00:20,0
2/28/2024,Weekday,A-33,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,08:02,8
2/28/2024,Weekday,A-1,3 Av - 138 St (619),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,9,4,00:27,0
2/28/2024,Weekday,A-96,Times Square - 42 St (127),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,5,1,23:36,23
2/28/2024,Weekday,A-70,59 St - Columbus Circle (125),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,1,17:53,17
2/28/2024,Weekday,A-44,34 St - Penn Station (128),External,Sick/Injured Customer,,Public,SICK CUSTOMER,3,3,11:26,11
2/28/2024,Weekday,A-13,137 St - City College (115),Internal,Other Internal,Other Internal Disruptions,Automatic Train Supervision,AUTOMATIC TRAIN SUPV,32,1,07:02,7
2/28/2024,Weekday,A-6,96 St (120),Internal,Other Internal,Other Internal Disruptions,Automatic Train Supervision,AUTOMATIC TRAIN SUPV,8,1,00:00,0
2/28/2024,Weekday,A-35,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,4,1,08:11,8
2/28/2024,Weekday,A-74,34 St - Penn Station (128),Internal,Other Internal,Service Delivery,Division of Service Delivery,BIE-EMPLOYEE,1,1,19:08,19
2/28/2024,Weekday,A-49,Canal St (135),Internal,Other Internal,Service Delivery,Division of Service Delivery,IMPROPER OPERATION,3,1,13:02,13
2/28/2024,Weekday,A-25,Chambers St (137),Internal,Other Internal,Service Delivery,Division of Service Delivery,T/O OVER RUNNING THE STATION,1,1,09:09,9
2/28/2024,Weekday,A-94,191 St (110),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,2,1,22:25,22
2/28/2024,Weekday,A-3,157 St (113),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,2,1,03:10,3
2/28/2024,Weekday,A-66,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,13:31,13
2/28/2024,Weekday,A-69,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,6,1,15:09,15
2/28/2024,Weekday,A-2,28 St (129),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,9,1,00:51,0
2/28/2024,Weekday,A-41,242 St - Van Cortlandt Park (101),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,5,1,09:54,9
2/29/2024,Weekday,A-57,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,12:00,12
2/29/2024,Weekday,A-82,96 St (120),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),3,1,21:46,21
2/29/2024,Weekday,A-58,Cathedral Pkwy (110 St) (118),External,"Public Conduct, Crime, Police Response",,Public,UNRULY PERSON(S),4,1,15:08,15
2/29/2024,Weekday,A-25,28 St (129),External,Sick/Injured Customer,,Public,ASSISTANCE REFUSED/UNFOUNDED,3,1,08:16,8
2/29/2024,Weekday,A-27,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,3,1,08:50,8
2/29/2024,Weekday,A-90,242 St - Van Cortlandt Park (101),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,2,1,23:26,23
2/29/2024,Weekday,A-32,116 St - Columbia University (117),Internal,Subway Car,Other - CE,Division of Car Equipment,TRUCK-UNUSUAL NOISE,8,1,09:21,9
2/29/2024,Weekday,A-35,125 St (116),Internal,Subway Car,Propulsion,Division of Car Equipment,SLOW TRAIN,1,1,09:10,9
2/29/2024,Weekday,A-33,28 St (129),Internal,Track Failures,"Fire, Smoke, Debris",Division of MOW Track,DEBRIS ON ROADBED,10,1,09:37,9
2/29/2024,Weekday,A-39,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,07:01,7
2/29/2024,Weekday,A-59,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,15:09,15
2/29/2024,Weekday,A-60,South Ferry (142),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,15:37,15
2/29/2024,Weekday,A-61,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,16:55,16
2/29/2024,Weekday,A-80,South Ferry (142),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,18:58,18
2/29/2024,Weekday,A-93,96 St (120),Planned ROW Work,,,Division of MOW Engineering,DELAYED BY TRACK/WORK GANGS,2,2,12:00,12
2/29/2024,Weekday,A-3,79 St (122),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,9,1,00:11,0
2/29/2024,Weekday,A-47,231 St (104),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,4,1,11:16,11
2/29/2024,Weekday,A-8,50 St (126),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,9,1,00:25,0
3/1/2024,Weekday,A-54,238 St (103),External,"Public Conduct, Crime, Police Response",,Police,BROKEN CAB DOOR,8,1,16:26,16
3/1/2024,Weekday,A-8,Canal St (135),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),2,1,03:03,3
3/1/2024,Weekday,A-2,168 St (112),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,2,1,00:25,0
3/1/2024,Weekday,A-86,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Public,UNRULY PERSON(S),8,1,21:54,21
3/1/2024,Weekday,A-50,242 St - Van Cortlandt Park (101),External,Sick/Injured Customer,,Public,SICK CUSTOMER,7,1,15:14,15
3/1/2024,Weekday,A-36,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,2,1,08:42,8
3/1/2024,Weekday,A-13, (),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,4,1,04:54,4
3/1/2024,Weekday,A-31,191 St (110),Internal,Subway Car,Door-Related,Division of Car Equipment,DRS FAIL TO O/C CAR,4,1,10:07,10
3/1/2024,Weekday,A-62,125 St (116),Internal,Subway Car,Propulsion,Division of Car Equipment,SLOW TRAIN,2,1,16:11,16
3/1/2024,Weekday,A-22,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,07:12,7
3/1/2024,Weekday,A-61,Cortlandt St (138),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,12,1,14:24,14
3/1/2024,Weekday,A-94,96 St (120),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,3,21:36,21
3/1/2024,Weekday,A-95,96 St (120),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,3,22:40,22
3/1/2024,Weekday,A-39,137 St - City College (115),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,15,1,09:17,9
3/1/2024,Weekday,A-7,96 St (120),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,1,00:38,0
3/4/2024,Weekday,A-2,72 St (123),External,Persons on Roadbed,,Police,*BIE-PERSON STRUCK/DECEASED,3,1,00:06,0
3/4/2024,Weekday,A-15,23 St (130),External,"Public Conduct, Crime, Police Response",,Police,BIE-EMPLOYEE,2,1,06:02,6
3/4/2024,Weekday,A-17,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Police,VANDALISM,2,1,07:52,7
3/4/2024,Weekday,A-31,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,7,1,08:02,8
3/4/2024,Weekday,A-74,South Ferry (142),Internal,Other Internal,Service Delivery,OPS Training,COMFORT RELIEF,5,1,20:13,20
3/4/2024,Weekday,A-81,231 St (104),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SIGNAL TROUBLE,2,1,22:51,22
3/4/2024,Weekday,A-50,242 St - Van Cortlandt Park (101),Internal,Subway Car,Other - CE,Division of Car Equipment,B/O P.A./BUZZER,4,1,16:13,16
3/4/2024,Weekday,A-28,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,07:41,7
3/4/2024,Weekday,A-70,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,14:25,14
3/4/2024,Weekday,A-72,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,16:51,16
3/4/2024,Weekday,A-73,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,5,1,16:33,16
3/4/2024,Weekday,A-80,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,19:06,19
3/4/2024,Weekday,A-30,215 St (107),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,1,09:50,9
3/5/2024,Weekday,A-11,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,1,1,00:06,0
3/5/2024,Weekday,A-76,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,2,1,18:11,18
3/5/2024,Weekday,A-29,72 St (123),External,"Public Conduct, Crime, Police Response",,Police,ARMED PERSON(S),1,2,09:52,9
3/5/2024,Weekday,A-21,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,7,1,07:25,7
3/5/2024,Weekday,A-64,South Ferry (142),Internal,Other Internal,Service Delivery,Division of Service Delivery,COMFORT RELIEF,1,1,17:48,17
3/5/2024,Weekday,A-2,72 St (123),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,RAIL REPAIR/REPLACEMENT,4,1,01:13,1
3/5/2024,Weekday,A-34,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,09:27,9
3/5/2024,Weekday,A-63,168 St (112),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,9,1,16:22,16
3/5/2024,Weekday,A-9,Chambers St (137),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,9,1,00:26,0
3/5/2024,Weekday,A-41,Times Square - 42 St (127),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,10,1,10:51,10
3/6/2024,Weekday,A-50,South Ferry (142),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,1,1,11:57,11
3/6/2024,Weekday,A-9,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Police,BIE-EBV-CUSTOMER,2,1,01:45,1
3/6/2024,Weekday,A-77,Times Square - 42 St (127),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),2,2,18:45,18
3/6/2024,Weekday,A-22,103 St (119),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,1,1,08:32,8
3/6/2024,Weekday,A-65,59 St - Columbus Circle (125),External,"Public Conduct, Crime, Police Response",,Public,LOST PROPERTY/PERSON,16,1,16:55,16
