Date,Sent To,Ticket ,RTO #,District,Line,Facility,Location,Type,Request,Entered by,Current Status,Completed Date,Comments,,
4/4/2024,Marketplace,127242,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,5/1/2024,,,
4/4/2024,Marketplace,127248,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,5/1/2024,,,
4/4/2024,Station Env,784121/ 9722876,SE240326,1,5,Dyre Avenue,Crew Facility ,repair ,exit door is leaking from te top and bottom,SP,completed,5/14/2024,,,
4/4/2024,Station Env,N/A,SE240327,4,M,Essex Street ,Tower ,repair ,slop/utility sink is clogged up ,SP,completed,4/4/2024,,,
4/4/2024,Station Env,10351555,SE240328,4,C,Euclid Avenue,Women Locker Room ,install,management is requesting latches be installed on the lockers ,SP,completed,6/14/2024,,,
4/4/2024,Station Env,784205,SE240329,1,5,East 180 Street,Women Restroom ,repair ,the celining is leaking ,SP,completed,4/5/2024,,,
4/4/2024,Station Env,784209,SE240330,1,5,East 180 Street,Dispatchers Office ,repair ,the window frame needs to be reselaed,SP,completed,7/2/2024,,,
4/4/2024,Station Env,784216,SE240331,1,5,Dyre Avenue,Womens Restroom ,repair ,no hot water ,SP,completed,5/3/2024,,,
4/4/2024,Station Env,784219,SE240332,1,5,Dyre Avenue,Mens Restroom,repair ,no hot water ,SP,completed,5/3/2024,,,
4/5/2024,Marketplace,127297,N/A,,,130 Livingston Street,Various locations,supply,supply order/microwave,JR,completed,4/6/2024,,,
4/5/2024,Station Env,9726015,SE240333,3,Q,Stillwell Avenue,Women restroom - Mezzanine level,repair,ceiling leak when raining,SP,completed,4/7/2024,,,
4/5/2024,Station Env,784905,SE240334,3,Q,Stillwell Avenue,Crew room - Mezzanine level,repair,electrical outlet neaer fridge not working,SP,completed,4/29/2024,,,
4/5/2024,Station Env,9726015,SE240335,3,Q,Stillwell Avenue,Crew room - Mezzanine level,repair,ceiling leak,SP,completed,4/7/2024,,,
4/5/2024,Station Env,9725923,SE240336,1,2,Flatbush Avenue,Unisex restroom - Track 3,repair,"vent shift during earthquake, ceiling tile came down",SP,completed,4/6/2024,,,
4/8/2024,Exterminator,N/A, E24006 ,2,6,Pelham Bay Park,Dispatcher and Crew rooms,exterminate,rodent infestation,JC,completed,,,,
4/8/2024,F & S,N/A,F & S,5,E,Queensboro Plaza,Tower,install,fire extinguisher hook,JC,completed by F&S,4/8/2024,,,
4/8/2024,MOW,323859,M24070,1,1,240 Street Yard,Tower entrance,repair,door hard to open and close,JC,completed,4/10/2024,,,
4/8/2024,MOW,323858,M24071,2,4,Mosholu Yard,Restrooms,repair,no hot water,JC,completed,4/16/2024,,,
4/8/2024,MOW,212256,M24072,4,J,East New York Yard,Switchman Shack - Foot,repair,no working outlets,JC,completed,4/19/2024,,,
4/8/2024,Station Env,9727360,SE240337,4,A,Far Rockaway,Dispatcher restroom,repair,toilet tank cover fell and broke,JC,completed,4/8/2024,,,
4/8/2024,Station Env,9778874,SE240338,4,M,Metropolitan Avenue,Dispatcher office,repair,keypad not working,JC,completed,4/8/2024,,,
4/8/2024,Station Env,9766288,SE240339,2,6,Pelham Bay Park,Crew room and Women locker room,replace,lights out,JC,completed,5/1/2024,,,
4/8/2024,Station Env,N/A,SE240340,4,A,59 Street,Tower restroom,replace,toielt seat cover dispenser broken,JC,closed,6/1/2024,,,
4/9/2024,Marketplace,127402,N/A,,,130 Livingston Street,Various locations,supply,supply order/microwaves,JR,completed,4/19/2024,,,
4/9/2024,Station Env,786150,SE240341,4,C,168 Street,Crew room,repair,door closer,JC,completed,4/9/2024,,,
4/9/2024,Station Env,9771164,SE240342,1,2,241 Street,Crew room,repair,door slams,JC,completed,4/9/2024,,,
4/10/2024,MOW,212259,M24073,2,3,Livonia Yard,Tower restroom,repair,clogged sink,JC,completed,4/19/2024,,,
4/10/2024,MOW,323855,M24074,4,A,207 Street Yard,Restrooms and Locker rooms,repair,no hot water,JC,completed,4/16/2024,MADE SAFE,,
4/10/2024,MOW,323856,M24075,4,A,207 Street Yard,Men restroom,replace,GFCI outlet not working,JC,completed,4/11/2024,,,
4/10/2024,MOW,212257,M24076,3,D,Coney Island Yard,Tower B - TSS & CRC,replace,light bulbs out,JC,completed,4/19/2024,,,
4/10/2024,Marketplace,127467,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
4/10/2024,Station Env,786500,SE240343,4,J,Broad Street,Men restroom,repair,clogged urinal,JC,completed,4/11/2024,,,
4/10/2024,Station Env,786518,SE240344,1,2,241 Street,Crew room,repair,outlet not working,JC,completed,4/10/2024,,,
4/10/2024,Station Env,N/A,SE240345,2,6,Pelham Bay Park,N/E of platform,install,install bird spikes,JC,completed,5/1/2024,,,
4/10/2024,Station Env,N/A,SE240346,2,6,Pelham Bay Park,Men and Women restrooms,replace,water-damaged ceiling tiles,JC,completed,12/31/2024,,,
4/10/2024,Station Env,9775530,SE240347,4,A,207 Street,Crew facility - Mezzanine Level,repair,keypad lock not working,JC,completed,4/11/2024,,,
4/11/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Crew office - kitchen,repair,water heater inspection,JC,completed by F&S,4/11/2024,,,
4/11/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Crew office - kitchen,install,installed ice machine ,JC,completed by F&S,4/11/2024,,,
4/11/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Men restroom,repair,"replaced batteries, adjust flushometers",JC,completed by F&S,4/11/2024,,,
4/11/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Unisex restroom,repair,repaied hot water heater,JC,completed by F&S,4/11/2024,,,
4/11/2024,F & S,N/A,F & S,3,Q,Queens Plaza Platform Controllers,Crew facility,repair,repaired ice machine,JC,completed by F&S,4/11/2024,,,
4/11/2024,Marketplace,127523,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
4/11/2024,Station Env,786937,SE240348,3,R,95 Street ,Men restroom,repair,no hot water,JC,completed,4/11/2024,,,
4/11/2024,Station Env,787076,SE240349,1,1,South Ferry,Women restroom,repair,sink detaching from wall,JC,completed,6/27/2024,,,
4/12/2024,Service Now,RITM0960124,REQ0941078,,,130 Livingston Street ,Facility & Safety,material ,IPAD for GS Matheson,JR,completed,6/30/2024,,,
4/12/2024,Station Env,9779030,SE240350,3,R,Forest Hills 71 Continental Avenue,Master Tower,repair,Securitech lock not working,JC,completed,4/12/2024,,,
4/12/2024,Station Env,9779152,SE240351,3,R,95 Street ,Men restroom,repair,toilets and sinks backing up,JC,completed,4/12/2024,,,
4/12/2024,Station Env,9777747,SE240352,3,N,Ditmars Boulevard,Dispatcher office,repair,window fell out ,JC,completed,4/12/2024,,,
4/12/2024,Station Env,787762,SE240353,2,6,Pelham Bay Park,Dispatcher office,repair,baseboard heaters are non-adjustable,JC,completed,10/9/2024,,,
4/15/2024,F & S,N/A,F & S,4,A,207 Street Yard,track 51-54,removal,geese eggs removed from tk 51-54 (see email on 4/15 for details),JR,completed,4/15/2024,,,
4/15/2024,Marketplace,127707,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,4/30/2024,,,
4/15/2024,Station Env,9826174,SE240354,3,L,Canarsie Rockaway Parkway,"Q2 Track, SM 536+80",replace,broken tack tile,JC,completed,4/15/2024,,,
4/15/2024,Station Env,N/A,SE240355,2,6,Pelham Bay Park,Crew room,repair,window not staying open,JC,completed,6/1/2024,,,
4/15/2024,Station Env,N/A,SE240356,2,3,New Lots Avenue,Crew room - Middle Platform,repair,broken window,JC,completed,6/7/2024,,,
4/16/2024,F & S,N/A,F & S,4,J,Broad Street ,Dispatcher Office ,repair ,door lock is broken,SP,completed by F&S,4/16/2024,,,
4/16/2024,MOW,323860,M24077,4,A,207 Street Yard,Women Locker Room ,clean ,shower is dirty and needs items removed ,SP,closed,4/17/2024,,,
4/16/2024,Station Env,9833197,SE240357,5,7,Main Street ,Crew Facility - North End - Mezzaine ,replace ,burnt out lights ,SP,completed,4/18/2024,,,
4/16/2024,Station Env,9830371,SE240358,3,R,Forest Hills 71 Continental Avenue,Men Locker Room ,repair ,toliet seat is broken ,SP,completed,4/11/2024,,,
4/16/2024,Station Env,9831022,SE240359,3,B,Brighton Beach,Women restroom,repair,clogged toilet,JC,completed,4/16/2024,,,
4/17/2024,F & S,N/A,F & S,2,3,New Lots Avenue,Trailer,repair,door and door lock,JC,completed by F&S,4/17/2024,,,
4/17/2024,F & S,N/A,F & S,,,130 Livingston Street,Storage room,repair,clean and rearrange,JC,completed by F&S,4/17/2024,,,
4/17/2024,Station Env,789584,SE240360,2,6,Pelham Bay Park,Women restroom,repair,clogged toilet,JC,completed,4/26/2024,,,
4/17/2024,Station Env,789843,SE240361,2,4,Woodlawn,Crew room,repair,ceiling leak,JC,completed,7/22/2024,,,
4/18/2024,F & S,N/A,F & S,4,A,Far Rockaway,N/E Platform,install,installed chain to secure new bench,JC,completed by F&S,4/18/2024,,,
4/18/2024,F & S,N/A,F & S,4,L,Canarsie Rockaway Parkway,Supt Ahmed,delivery,delivered retirement plaques,JC,completed by F&S,4/18/2024,,,
4/18/2024,F & S,N/A,F & S,4,L,Canarsie Rockaway Parkway,Women restroom,repair,"repaired leaking sink, cleaned under sink cabinet",JC,completed by F&S,4/18/2024,,,
4/18/2024,MOW,323863,M24078,1,1,240 Street Yard,Tower ,repair,radio cage lock not working,JC,completed by Bobby,9/1/2024,,,
4/18/2024,Marketplace,127894,N/A,,,130 Livingston Street,Various locations,supply,supply order/microwaves,JR,completed,4/20/2024,,,
4/18/2024,Station Env,9836216,SE240362,2,3,New Lots Avenue,Dispatcher office,repair,door lock sticking in door frame,JC,completed,4/18/2024,,,
4/18/2024,Station Env,9836307,SE240363,2,4,Utica Avenue,Trailer,removal,remove trailer skirt ,JC,completed,4/19/2024,,,
4/18/2024,Station Env,N/A,SE240364,4,L,Canarsie Rockaway Parkway,Women restroom,repair,sink leaking,JC,completed,5/1/2024,,,
4/18/2024,Station Env,9836524,SE240365,4,M,Essex Street ,Tower,repair,slop sink clogged,JC,completed,6/26/2024,,,
4/18/2024,Station Env,9839180,SE240366,1,2,241 Street,Storage room,repair,ceiling crumbling,JC,completed,4/19/2024,,,
4/18/2024,Station Env,9836301,SE240367,2,4,Utica Avenue,Trailer,removal,remove electrical power to trailer,JC,completed,4/19/2024,,,
4/19/2024,EMD,9836576,EMD24012,1,1,240 Street Yard,entrance door ,repair,buzzer not releasing door lock,JC,completed,5/1/2024,,,
4/19/2024,F & S,N/A,F & S,3,R,Forest Hills 71 Continental Avenue,Dispatcher office,repair,door lock not locking,JC,completed by F&S,4/19/2024,,,
4/19/2024,F & S,N/A,F & S,4,M,Metropolitan Avenue,Dispatcher office,repair,door lock not working,JC,completed by F&S,4/19/2024,,,
4/19/2024,Station Env,9839295,SE240368,2,3,New Lots Avenue,Dispatcher office,install,install door check,JC,completed,4/20/2024,,,
4/19/2024,Station Env,790959,SE240369,1,1,242 Street ,Men locker room,replace,water-damaged ceiling tiles,JC,completed,5/20/2024,,,
4/19/2024,Station Env,790959,SE240370,1,1,242 Street ,Men locker room,secure,ceiling vents off centered,JC,completed,5/20/2024,,,
4/19/2024,Station Env,790959,SE240371,1,1,242 Street ,Women locker room,replace,water-damaged ceiling tiles,JC,completed,5/20/2024,,,
4/22/2024,Station Env,791726/ 9875347,SE240372,5,7,Main Street,Men restroom,repair,clogged sink,JC,completed,4/23/2024,,,
4/22/2024,Station Env,793437,SE240373,1,2,241 Street,Crew facility,repair,rear door not closing,JC,completed,4/25/2024,,,
4/23/2024,F & S,N/A,F & S,5,E,Jamaica Yard ,Crew facility,delivery,delivered refrigerator,JC,completed by F&S,4/23/2024,,,
4/23/2024,F & S,N/A,F & S,4,M,Essex Street ,Crew room,delivery,delivered ceiling tile,JC,completed by F&S,4/23/2024,,,
4/23/2024,Station Env,10765671,SE240374,3,R,Forest Hills 71 Continental Avenue,Women & Men restrooms,install,install new hand dryers,JC,completed,10/16/2024,,,
4/23/2024,Station Env,792506,SE240375,2,4,Woodlawn,Platform,repair,loose wooden plank and loose rubbing board,JC,completed,4/23/2024,,,
4/24/2024,F & S,N/A,F & S,2,4,Utica Avenue,Trailer,removal,"removed tables, chairs and keypads ",JC,completed by F&S,4/24/2024,,,
4/24/2024,F & S,N/A,F & S,4,A,207 Street,Crew facility,repair,facility inspection,JC,completed by F&S,4/24/2024,,,
4/24/2024,F & S,N/A,F & S,4,C,168 Street,Crew facility  -  entrance gates ,repair,facility inspections of gates and locks,JC,completed by F&S,4/24/2024,,,
4/24/2024,Station Env,9904960,SE240376,5,7,Main Street ,Men restroom,repair ,urinal is leaking and constanly running ,SP,completed,4/24/2024,,,
4/24/2024,Station Env,792616,SE240377,2,6,138 Street 3 Avenue,Men restroom,repair,water heater leaking,JC,completed,4/24/2024,,,
4/25/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Crew office,replace,replaced filters for ice machine,JC,completed by F&S,4/25/2024,,,
4/25/2024,F & S,N/A,F & S,4,J,Broad Street,Dispatcher ,repair,keypad lock not working,JC,completed by F&S,4/25/2024,,,
4/25/2024,F & S,N/A,F & S,Sub C,Sub C,Chambers Street Flagging Quarters,Crew facility,install,furniture delivery and set up,JC,completed by F&S,4/25/2024,,,
4/25/2024,HVAC,9907640,HV24004,3,R,Forest Hills 71 Continental Avenue,Crew reporting center,repair,A/C unit #QA501 blowing out hot air,JC,completed,,,,
4/25/2024,MOW,212284,M24079,4,J,East New York Yard,Switchman Shack ,repair,door not closing,JC,completed,5/1/2024,,,
4/25/2024,Station Env,9907296,SE240378,2,3,New Lots Avenue,Dispatcher office,repair,light fixture cover broken and danger of falling,JC,completed,4/25/2024,,,
4/25/2024,Station Env,9910291,SE240379,4,M,Essex Street ,Men restroom,repair,exhaust fan not working,JC,completed,4/27/2024,,,
4/25/2024,Station Env,793418,SE240380,1,1,242 Street ,Crew room - Kitchen,repair,broken window,JC,completed ,5/15/2025,,,
4/25/2024,Station Env,10140088,SE240381,1,1,242 Street ,Crew room ,replace,missing ceiling tiles,JC,completed,5/21/2024,,,
4/26/2024,Material Control,N/A,MC24002,4,A,168 Street,Crew Room,material,bench,JR,completed,12/31/2024,,,
4/26/2024,Material Control,128259/ 1000873,MC24003,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,6/6/2024,,,
4/26/2024,Marketplace,128257,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
4/26/2024,Marketplace,128240,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
4/26/2024,Station Env,795126/9944176,SE240382,5,7,Main Street,Dispatcher ,repair ,urinal nto working,JC,completed,4/30/2024,,,
4/26/2024,Station Env,9911450,SE240383,5,G,Church Avenue ,Men locker ,replace,lights out,JC,completed,4/27/2024,,,
4/26/2024,Station Env,9911036,SE240384,2,6,Pelham Bay Park,Women ,repair,clogged sink,JC,completed,4/26/2024,,,
4/26/2024,Station Env,9935629,SE240385,3,Q,Stillwell Avenue,Women,repair,toilet leak,JC,completed,5/9/2024,,,
4/26/2024,Station Env,793928,SE240386,2,3,New Lots Avenue,Storage room,repair,lock not woking,JC,completed,4/27/2024,,,
4/29/2024,MOW,212292,M24080,4,A,Liberty Junction ,Tower ,repair ,door and door lock are not working as designed,SP,completed,8/8/2024,,,
4/29/2024,MOW,323878,M24081,1,5,Dyre Avenue,Track Y2 Marker # 411+00,repair ,hole in fence,SP,completed,5/1/2024,,,
4/29/2024,Marketplace,128300,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
4/29/2024,Marketplace,128313,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
4/29/2024,Station Env,9944363,SE240387,1,2,Flatbush Avenue,Crew Facility Track 3 ,repair ,leaking sink drain pipe ,SP,completed ,6/5/2024,,,
5/1/2024,Iron,N/A,IW24001,1,5,Dyre Avenue,Track Y2 Marker # 411+00,repair ,hole in fence,SP,completed,5/1/2024,,,
5/1/2024,MOW,212295,M24082,5,E,Queensboro Plaza,Women Restroom ,repair ,water leaking from under tiles,SP,completed,10/3/2024,,,
5/1/2024,Marketplace,128492,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,6/1/2024,,,
5/1/2024,Station Env,N/A,SE240388,1,1,Grand Central Shuttle,Crew facility ,replace ,toliet seat is very loosee ,SP,completed,5/2/2024,,,
5/1/2024,Station Env,9988292,SE240389,3,Q,Stillwell Avenue,Women Locker Room ,replace ,electrical outlet is missing a cover ,SP,completed,5/2/2024,,,
5/1/2024,Station Env,9988091,SE240390,3,Q,Stillwell Avenue,Women Restroom ,repairr ,loose and missing wall tiles ,SP,completed,5/8/2024,,,
5/1/2024,Station Env,10047514,SE240391,4,C,168 Street,Crew facility ,install ,installation needed of 2 heavy duty LCN door checks,SP,completed,5/8/2024,,,
5/1/2024,Station Env,795716,SE240392,2,6,Pelham Bay Park,Crew facility ,replace ,door closer is broken ,SP,completed,5/1/2024,,,
5/2/2024,F & S,N/A,F & S,,,57-10 Roosevelt Substation,Testing section,delivery,high-tension JCB gloves,JC,completed by F&S,5/2/2024,,,
5/2/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Lunchroom,repair,ice machine,JC,completed by F&S,5/2/2024,,,
5/2/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Chief office - Paul McPhee,repair,water heater,JC,completed by F&S,5/2/2024,,,
5/2/2024,MOW,212299,M24083,2,3,Livonia Yard ,Tower ,repair ,broken concrete at entrance of tower,SP,completed,12/31/2024,,,
5/2/2024,MOW,212298,M24084,5,E ,Jamaica Yard ,Tower ,repair ,entrance door is not opening fully,SP,completed,10/18/2024,"door repaired, need to install door check",,
5/2/2024,MOW,212300,M24085,3,D,38 Street Yard,Car Control and Third Rail Tralers ,repair ,support needed for sewerage discharge line ,SP,closed,6/1/2024,,,
5/2/2024,Station Env,796136,SE240393,3,B,145 Street,Crew facility ,remove ,broken mirror in the crew faciility,SP,completed,5/2/2024,,,
5/2/2024,Station Env,9992272,SE240394,2,3,New Lots Avenue,Dispatcher Office ,repair ,keypad combination lock is not working as designed ,SP,completed,5/2/2024,,,
5/2/2024,Station Env,N/A,SE240395,3,N,City Hall,Tower ,replace ,lightbulbs are out,SP,completed ,5/11/2024,,,
5/2/2024,Station Env,9992305,SE240396,3,Q,Stillwell Avenue,Men's Restroom ,repair ,faucet broke off the sink ,SP,completed,5/2/2024,,,
5/2/2024,Station Env,9993050,SE240397,4,A,Far Rockaway,G-2 Staircase ,repair ,water condition in staircase causing a slippery condition ,SP,completed,5/21/2024,,,
5/2/2024,Station Env,796790,SE240398,3,D,205 Street ,Crew Facility ,paint ,crew facility needs to be painted ,SP,cancelled on 3/27/25 by Sta. Maint,,,,
5/2/2024,Station Env,796798,SE240399,3,D,205 Street,Unisex Restroom,install,installation needed of a ventalation fan ,SP,completed,7/24/2024,,,
5/3/2024,MOW,212304,M24086,3,D,38 Street Yard,Tower ,paint ,staircase needs to be painted ,SP,completed,6/15/2024,,,
5/3/2024,MOW,212305,M24087,5,E,Jamaica Yard ,Dispatcher Office ,repair ,2 outlets are not working ,SP,completed,6/1/2024,,,
5/3/2024,Station Env,796850,SE240400,2,6,125 Street ,Dispatcher Office ,repair ,sink is clogged up ,SP,completed,5/23/2024,,,
5/3/2024,Station Env,N/A,SE240401,5,F,179 Street ,Tower ,repair ,toilet is not flushing ,SP,completed ,5/7/2024,,,
5/3/2024,Station Env,797065/9996404,SE240402,4,J,Parsons Archer ,Dispatcher Office ,paint ,paint job needed for the entire Dispatcher office ,SP,completed,5/29/2024,,,
5/6/2024,F & S,N/A,F & S,,,57-10 Roosevelt Substation,Testing section,delivery,JCB gloves ,JC,completed by F&S,5/6/2024,,,
5/6/2024,F & S,N/A,F & S,2,3,148 Street,Trailer,repair,combo lock ,JC,completed by F&S,5/6/2024,,,
5/7/2024,F & S,N/A,F & S,2,3,Livonia Yard,Crew room,delivery,benches,JC,completed by F&S,7/25/2024,,,
5/7/2024,Station Env,798208/10031301,SE240403,3,B,145 Street ,Women Restroom ,repair ,sink is clogged up ,SP,completed ,5/7/2024,,,
5/7/2024,Station Env,10033405,SE240404,3,B,Brighton Beach,Men Locker Room ,replace ,replace electrial outlets ,SP,completed,5/15/2024,,,
5/8/2024,F & S,N/A,F & S,5,E,Parsons Archer ,CRC,repair ,keypad lock is broken,SP,completed by F&S,5/8/2024,,,
5/8/2024,F & S,N/A,F & S,,,57-10 Roosevelt Substation,Testing section,delivery,dropped of JCB gloves for inspection,JC,completed by F&S,5/8/2024,,,
5/8/2024,F & S,N/A,F & S,Crew off,Crew off,2717 Jackson Avenue,Crew office,inspect,inspect ice machine,JC,completed by F&S,5/8/2024,,,
5/8/2024,MOW,323882,M24088,1,1,240 Street Yard,Superintendent office,repair ,toilet continually leaking ,SP,completed ,5/9/2024,,,
5/8/2024,Marketplace,128809,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,,,,
5/8/2024,Station Env,10045460,SE240405,3,B,Brighton Beach,Men's Restroom ,repair ,urinal is leaking from the base,SP,completed,5/9/2024,,,
5/8/2024,Station Env,N/A,SE240406,3,FS,Prospect Park ,Crew Facility ,repair ,celing leak ,SP,completed,5/8/2024,,,
5/8/2024,Station Env,798650/10046301,SE240407,5,E,Parsons Archer ,Superintendent's Office ,repair,the base board is broken,SP,completed,5/14/2024,heater is secured,,
5/8/2024,Station Env,N/A,SE240408,2,3,New Lots Avenue,Men Restroom ,replace ,change code to lock on Men restroom door,SP,completed,5/10/2024,,,
5/8/2024,Station Env,10112549,SE240409,2,3,New Lots Avenue,Crew Facility ,install,installion of new lock on door is needed,SP,completed,5/17/2024,,,
5/8/2024,Station Env,797059/ 10402169,SE240410,4,A,59 Street,Master Tower ,repair ,"toilet is not flushing, making loud noise",SP,completed,6/20/2024,,,
5/8/2024,Station Env,N/A,SE240411,2,4,Grand Central Shuttle,Women Restroom ,repair ,toilet is leaking ,SP,completed,5/10/2024,,,
5/9/2024,Station Env,10051813,SE240412 ,Trns Ops ,Trns Ops ,South Ferry Platform Controllers ,Crew Facility ,install,requesting wiring and power for outlets ,SP,completed,9/25/2024,,,
5/10/2024,F & S,N/A,F & S,2,4,Utica Avenue,Tower,repair,lock not woking,SP,completed by F&S,5/10/2024,,,
5/10/2024,Marketplace,128953,N/A,,,130 Livingston Street,Various locations,supply,supply order,JR,completed,5/30/2024,,,
5/10/2024,Station Env,10052303,SE240413,4,M,Metropolitan Avenue,Dispatcher Office ,repair ,stair treads worn,SP,completed,5/10/2024,,,
5/10/2024,Station Env,799669,SE240414,4,C,Rockaway Park Beach 116 Street,Crew Facility ,repair ,sink is clogged up ,SP,completed,5/11/2024,,,
5/10/2024,Station Env,799720,SE240415,4,C,Rockaway Park Beach 116 Street,Dispatcher Office ,repair,screen door is broken,SP,completed ,5/10/2024,,,
5/10/2024,Station Env,799791/10053336,SE240416,3,R,Forest Hills 71 Continental Avenue,Master Tower ,repair ,door lock is broken ,SP,completed ,5/12/2024,,,
5/10/2024,Station Env,10158759,SE240417,1,1,42 Street Times Square,Superintedents Office ,repair ,doors mechanism is broken ,SP,completed,5/28/2024,,,
5/10/2024,Station Env,10054478,SE240418,5,7,34 Street Hudson Yards,Dispatcher Office ,replace ,flouresent bulbs are out ,SP,completed,5/11/2024,,,
5/13/2024,Marketplace,128991,N/A,,,130 Livingston Street,Various locations,supply,supply order/microwaves,JR,completed,5/13/2024,,,
5/13/2024,Station Env,800405,SE240419,2,6,Brooklyn Bridge City Hall ,Dispatcher Office ,repair ,broken toilet seat ,SP,completed,6/25/2024,,,
5/13/2024,Station Env,800395,SE240420,2,4,Grand Central 42 Street ,Superintendents Office ,repair ,broken lock ,SP,completed,5/13/2024,,,
5/14/2024,MOW,212315,M24089,3,D,Coney Island Yard,Men Restroom Tower B,repair ,toilet is continuosly ruunning ,SP,completed,5/30/2024,,,
5/14/2024,MOW,323890,M24090,1,5,East 180 Street,Walkway to station - overpath,replace ,2 florecent lightbulbs are out ,SP,referred to Station,6/1/2024,,,
5/14/2024,MOW,212316,M24091,3,D,38 Street Yard,Tower ,repair ,broken door handle ,SP,completed,7/10/2024,,,
5/14/2024,MOW,212317,M24092,3,D,38 Street Yard,Crew Facility ,replace ,LED light fixture is out of order ,SP,completed,6/17/2024,,,
5/14/2024,Station Env,10622199,SE240421,3,Q,Stillwell Avenue,Men Restroom ,repair ,automatic hand towel dispenser is defective ,SP,completed,7/9/2024,,,
5/14/2024,Station Env,10039502,SE240422,4,C,Rockaway Park Beach 116 Street,Platform ,replace ,metal strip on the platform ,SP,completed,5/17/2024,,,
5/15/2024,Chemical Grouting,N/A,CG24003,,L,14 Street 8 Avenue,,chemical grout,,SP,completed,6/10/2024,,,
5/15/2024,MOW,323892,M24093,2,6,Westchester Yard,Crew room,repair,electrical outlet detaching from wall,JC,completed,5/15/2024,,,
5/15/2024,MOW,323893,M24094,2,6,Westchester Yard,Women restroom - 1st Floor,replace,broken toilet seat,JC,completed,5/16/2024,,,
5/15/2024,Station Env,801687/ 10107629,SE240423,2,4,Utica Avenue,Crew facility - various locations,replace,light bulbs out,JC,completed,5/17/2024,,,
5/15/2024,Station Env,10107991,SE240424,4,A,Broadway Junction,Tower entrance,replace,light fixture out,JC,completed,5/15/2024,,,
5/16/2024,Exterminator,N/A,E24007,2,4,Woodlawn,Crew facility,exterminate,"roach, ant and rodent infestation",JC,completed,,,,
5/16/2024,Exterminator,N/A,E24008,2,4,Grand Central 42 Street ,Superintendent office,exterminate,ant infestation,JC,completed,,,,
5/16/2024,Station Env,10109793,SE240425,5,7,Main Street,Dispatcher ,repair,sink leaking,JC,completed,5/17/2024,,,
5/16/2024,Station Env,10110074,SE240426,2,3,New Lots Avenue,Dispatcher,repair,door lock not working,JC,completed,5/16/2024,,,
5/16/2024,Track ,10289288,TK24006,2,4,Utica Avenue,Crew room - S/E L/L,replace,unstable fiberglass walkway,JC,completed,6/10/2024,,,
5/17/2024,F & S,N/A,F & S,4,C,168 Street,S/E S/B Platform,repair,repaired strike plate,JC,completed by F&S,5/17/2024,,,
5/17/2024,F & S,N/A,F & S,4,J,East New York Yard,Superintendent office,delivery,delivered plaques,JC,completed by F&S,5/17/2024,,,
5/17/2024,Iron,N/A,IW24002,1,2,239 Street Yard,Tower,repair,9th step is cracked and unstable,JC,completed,,,,
5/17/2024,MOW,323895,M24095,2,4,Mosholu Yard,Tower,replace,16 light bulbs out,JC,completed,5/20/2024,,,
5/17/2024,Quench ,8694804,Q24014,4,A,207 Street Yard ,Tower A ,install ,3 new cooler request ,SP,completed,,,,
5/17/2024,Quench ,86949892,Q24014,3,W,Whitehall Street,Platform Controllers Office ,install,new cooler request,SP,completed,,,,
5/17/2024,Station Env,10112343,SE240427,1,1,Chambers Street,Dispatcher office,repair,door misaligned,JC,completed,6/5/2024,,,
5/17/2024,Station Env,10112318,SE240428,4,L,8 Avenue,Women restroom,repair,clogged sink,JC,completed,5/17/2024,,,
5/17/2024,Station Env,10113690,SE240429,5,F,179 Street ,Crew room,repair,door not locking,JC,completed,5/17/2024,,,
5/17/2024,Station Env,802502,SE240430,2,3,148 Street,Restrooms,install,install new hand dryers,JC,completed,10/9/2024,,,
5/17/2024,Station Env,802543,SE240431,1,5,East 180 Street,School car classroom,repair,key broke in lock,JC,completed,5/17/2024,,,
5/20/2024,F & S,N/A,F & S,5,F,34 Street Master Tower,40th Street Entrance,repair,door handle stuck in down position,JC,completed by F&S,5/20/2024,,,
5/20/2024,F & S,N/A,F & S,,,57-10 Roosevelt Substation,Testing section,pick up,JCB gloves,JC,completed by F&S,5/20/2024,,,
